Laser ON
349868692 0.01
349868760 0.011
349868826 0.045
349868893 0.329
349868959 1.06
349869026 2.235
349869093 3.735
349869959 9.62
349870026 9.98
349870092 10.32
349870159 10.77
349870293 12.04
349870359 12.64
349870426 13.16
349870493 13.6
349870559 13.95
349870626 14.24
349870692 14.45
349870760 14.62
349870826 14.75
349870892 14.84
349870959 14.92
349871026 14.98
349871159 15.06
349871226 15.1
349871293 15.11
349871359 15.13
349871426 15.15
349871492 15.16
349871559 15.17
349871626 15.18
349871759 15.19
349871826 15.2
349871893 15.2
349871959 15.21
349872026 15.21
349872092 15.21
349872160 15.22
349872226 15.23
349872359 15.23
349872426 15.24
349872493 15.24
349872559 15.24
349872626 15.25
349872693 15.25
349872759 15.24
349872826 15.24
349872959 15.25
349873026 15.25
349873093 15.26
349873159 15.26
349873225 15.26
349873293 15.26
349873359 15.27
349873426 15.27
349873492 15.27
349873560 15.27
349873692 15.27
349873759 15.27
349873826 15.27
349873893 15.27
349873959 15.27
349874026 15.28
349874092 15.27
349874159 15.27
349874226 15.27
349874359 15.27
349874426 15.28
349874493 15.28
349874559 15.28
349874626 15.27
349874693 15.28
349874759 15.28
349874826 15.28
349874960 15.27
349875026 15.28
349875092 15.29
349875159 15.29
349875226 15.28
349875293 15.28
349875359 15.28
349875426 15.28
349875493 15.28
349875626 15.29
349875692 15.29
349875759 15.29
349875826 15.28
349875893 15.28
349875959 15.28
349876026 15.28
349876093 15.28
349876159 15.29
349876226 15.29
349876292 15.29
349876360 15.3
349876426 15.3
349876492 15.3
349876559 15.3
349876626 15.29
349876693 15.29
349876759 15.29
349876825 15.29
349876893 15.28
349876959 15.28
349877026 15.28
349877092 15.29
349877160 15.29
349877226 15.29
349877292 15.29
349877359 15.3
349877493 15.3
349877559 15.3
349877626 15.3
349877692 15.3
349877760 15.3
349877826 15.31
349877892 15.31
349877959 15.31
349878026 15.3
349878093 15.3
349878159 15.3
349878225 15.3
349878293 15.3
349878359 15.3
349878426 15.3
349878492 15.3
349878559 15.3
349878626 15.3
349878693 15.3
Laser OFF
